time,count
2013-01-01 01,37396
2013-01-01 02,35463
2013-01-01 03,33889
2013-01-01 04,31220
2013-01-01 05,29918
2013-01-01 06,28097
2013-01-01 07,27706
2013-01-01 08,25860
2013-01-01 09,22472
2013-01-01 10,18683
2013-01-01 11,15572
2013-01-01 12,13673
2013-01-01 13,12890
2013-01-01 14,14546
2013-01-01 15,18088
2013-01-01 16,23582
2013-01-01 17,31087
2013-01-01 18,35715
2013-01-01 19,40509
2013-01-01 20,42861
2013-01-01 21,45168
2013-01-01 22,46746
2013-01-01 23,45499
2013-01-02 00,45112
2013-01-02 01,45674
2013-01-02 02,47043
2013-01-02 03,47965
2013-01-02 04,48495
2013-01-02 05,44880
2013-01-02 06,43690
2013-01-02 07,38171
2013-01-02 08,31542
2013-01-02 09,26728
2013-01-02 10,21237
2013-01-02 11,18143
2013-01-02 12,17505
2013-01-02 13,18785
2013-01-02 14,22200
2013-01-02 15,28227
2013-01-02 16,35708
2013-01-02 17,42372
2013-01-02 18,46399
2013-01-02 19,49728
2013-01-02 20,51542
2013-01-02 21,53184
2013-01-02 22,54860
2013-01-02 23,51811
2013-01-03 00,49148
2013-01-03 01,48009
2013-01-03 02,47932
2013-01-03 03,49159
2013-01-03 04,49647
2013-01-03 05,49741
2013-01-03 06,47555
2013-01-03 07,41516
2013-01-03 08,34726
2013-01-03 09,27487
2013-01-03 10,23700
2013-01-03 11,16063
2013-01-03 12,19118
2013-01-03 13,21035
2013-01-03 14,26401
2013-01-03 15,33934
2013-01-03 16,42748
2013-01-03 17,49248
2013-01-03 18,52898
2013-01-03 19,54706
2013-01-03 20,56954
2013-01-03 21,57468
2013-01-03 22,56773
2013-01-03 23,54459
2013-01-04 00,51867
2013-01-04 01,49999
2013-01-04 02,49520
2013-01-04 03,50352
2013-01-04 04,50079
2013-01-04 05,48542
2013-01-04 06,44205
2013-01-04 07,37614
2013-01-04 08,30606
2013-01-04 09,25336
2013-01-04 10,21351
2013-01-04 11,18716
2013-01-04 12,18965
2013-01-04 13,20427
2013-01-04 14,25651
2013-01-04 15,33764
2013-01-04 16,41735
2013-01-04 17,50694
2013-01-04 18,52848
2013-01-04 19,53110
2013-01-04 20,53625
2013-01-04 21,54334
2013-01-04 22,54477
2013-01-04 23,50474
2013-01-05 00,48017
2013-01-05 01,46507
2013-01-05 02,46485
2013-01-05 03,45813
2013-01-05 04,45954
2013-01-05 05,46392
2013-01-05 06,43200
2013-01-05 07,38184
2013-01-05 08,33303
2013-01-05 09,27780
2013-01-05 10,23086
2013-01-05 11,19007
2013-01-05 12,17001
2013-01-05 13,16830
2013-01-05 14,18992
2013-01-05 15,24204
2013-01-05 16,30896
2013-01-05 17,38149
2013-01-05 18,43430
2013-01-05 19,46624
2013-01-05 20,46375
2013-01-05 21,45491
2013-01-05 22,46087
