,date,turnover
0,01/12/2010 08,129237
1,01/12/2010 09,728455
2,01/12/2010 10,439224
3,01/12/2010 11,400142
4,01/12/2010 12,684831
5,01/12/2010 13,447512
6,01/12/2010 14,809237
7,01/12/2010 15,321178
8,01/12/2010 16,795930
9,01/12/2010 17,747882
10,02/12/2010 07,40580
11,02/12/2010 08,88291
12,02/12/2010 09,113769
13,02/12/2010 10,509923
14,02/12/2010 11,300309
15,02/12/2010 12,439665
16,02/12/2010 13,236018
17,02/12/2010 14,275003
18,02/12/2010 15,1230210
19,02/12/2010 16,452757
20,02/12/2010 17,375657
21,02/12/2010 18,215365
22,02/12/2010 19,48539
23,03/12/2010 09,139460
24,03/12/2010 10,160940
25,03/12/2010 11,1262291
26,03/12/2010 12,591823
27,03/12/2010 13,368951
28,03/12/2010 14,1399202
29,03/12/2010 15,110545
30,03/12/2010 16,82918
31,03/12/2010 17,240941
32,05/12/2010 10,264919
33,05/12/2010 11,436021
34,05/12/2010 12,621390
35,05/12/2010 13,534650
36,05/12/2010 14,240911
37,05/12/2010 15,481716
38,05/12/2010 16,209615
39,06/12/2010 08,73792
40,06/12/2010 09,956237
41,06/12/2010 10,964014
42,06/12/2010 11,474976
43,06/12/2010 12,526666
44,06/12/2010 13,526382
45,06/12/2010 14,171391
46,06/12/2010 15,273512
47,06/12/2010 16,870078
48,06/12/2010 17,62853
49,07/12/2010 08,-5695
50,07/12/2010 09,461486
51,07/12/2010 10,337488
52,07/12/2010 11,517967
53,07/12/2010 12,200702
54,07/12/2010 13,510974
55,07/12/2010 14,214824
56,07/12/2010 15,-1142513
57,07/12/2010 16,2590012
58,07/12/2010 17,17901
59,07/12/2010 18,497938
60,08/12/2010 08,51677
61,08/12/2010 09,228693
62,08/12/2010 10,463188
63,08/12/2010 11,171001
64,08/12/2010 12,821412
65,08/12/2010 13,540496
66,08/12/2010 14,923668
67,08/12/2010 15,532081
68,08/12/2010 16,319005
69,08/12/2010 17,14621
70,08/12/2010 18,0
71,09/12/2010 08,20196
72,09/12/2010 09,246057
73,09/12/2010 10,909337
74,09/12/2010 11,245015
75,09/12/2010 12,504879
76,09/12/2010 13,541824
77,09/12/2010 14,1139389
78,09/12/2010 15,165402
79,09/12/2010 16,981959
80,09/12/2010 17,42661
81,09/12/2010 18,36881
82,09/12/2010 19,62957
83,09/12/2010 20,27607
84,10/12/2010 09,920661
85,10/12/2010 10,850855
86,10/12/2010 11,397241
87,10/12/2010 12,367224
88,10/12/2010 13,306493
89,10/12/2010 14,668982
90,10/12/2010 15,1882930
91,10/12/2010 16,-8265
92,10/12/2010 17,23305
93,12/12/2010 10,135120
94,12/12/2010 11,542184
95,12/12/2010 12,285788
96,12/12/2010 13,211808
97,12/12/2010 14,211009
98,12/12/2010 16,128879
99,13/12/2010 09,885513
100,13/12/2010 10,261934
101,13/12/2010 11,658986
102,13/12/2010 12,197141
103,13/12/2010 13,347811
104,13/12/2010 14,343392
105,13/12/2010 15,750353
106,13/12/2010 16,42401
107,13/12/2010 17,-49866
108,14/12/2010 09,90732
109,14/12/2010 10,88952
110,14/12/2010 11,386196
111,14/12/2010 12,734551
112,14/12/2010 13,778132
113,14/12/2010 14,258155
114,14/12/2010 15,1740072
115,14/12/2010 16,70384
116,14/12/2010 17,19111
117,15/12/2010 09,115892
118,15/12/2010 10,247792
119,15/12/2010 11,645983
120,15/12/2010 12,612933
121,15/12/2010 13,356511
122,15/12/2010 14,210256
123,15/12/2010 15,332888
124,15/12/2010 16,142913
125,15/12/2010 17,21171
126,16/12/2010 08,136699
127,16/12/2010 09,388799
128,16/12/2010 10,1265439
