yearmonth,spots,incr,year,month
1749-01,58.0,1,1749,01
1749-02,62.6,2,1749,02
1749-03,70.0,3,1749,03
1749-04,55.7,4,1749,04
1749-05,85.0,5,1749,05
1749-06,83.5,6,1749,06
1749-07,94.8,7,1749,07
1749-08,66.3,8,1749,08
1749-09,75.9,9,1749,09
1749-10,75.5,10,1749,10
1749-11,158.6,11,1749,11
1749-12,85.2,12,1749,12
1750-01,73.3,13,1750,01
1750-02,75.9,14,1750,02
1750-03,89.2,15,1750,03
1750-04,88.3,16,1750,04
1750-05,90.0,17,1750,05
1750-06,100.0,18,1750,06
1750-07,85.4,19,1750,07
1750-08,103.0,20,1750,08
1750-09,91.2,21,1750,09
1750-10,65.7,22,1750,10
1750-11,63.3,23,1750,11
1750-12,75.4,24,1750,12
1751-01,70.0,25,1751,01
1751-02,43.5,26,1751,02
1751-03,45.3,27,1751,03
1751-04,56.4,28,1751,04
1751-05,60.7,29,1751,05
1751-06,50.7,30,1751,06
1751-07,66.3,31,1751,07
1751-08,59.8,32,1751,08
1751-09,23.5,33,1751,09
1751-10,23.2,34,1751,10
1751-11,28.5,35,1751,11
1751-12,44.0,36,1751,12
1752-01,35.0,37,1752,01
1752-02,50.0,38,1752,02
1752-03,71.0,39,1752,03
1752-04,59.3,40,1752,04
1752-05,59.7,41,1752,05
1752-06,39.6,42,1752,06
1752-07,78.4,43,1752,07
1752-08,29.3,44,1752,08
1752-09,27.1,45,1752,09
1752-10,46.6,46,1752,10
1752-11,37.6,47,1752,11
1752-12,40.0,48,1752,12
1753-01,44.0,49,1753,01
1753-02,32.0,50,1753,02
1753-03,45.7,51,1753,03
1753-04,38.0,52,1753,04
1753-05,36.0,53,1753,05
1753-06,31.7,54,1753,06
1753-07,22.2,55,1753,07
1753-08,39.0,56,1753,08
1753-09,28.0,57,1753,09
1753-10,25.0,58,1753,10
1753-11,20.0,59,1753,11
1753-12,6.7,60,1753,12
1754-01,0.0,61,1754,01
1754-02,3.0,62,1754,02
